Class_sum,AWATER20,TRACTCE20,COUNTYFP20,MTFCC20,INTPTLAT20,BLOCKCE20,UACE20,STATEFP20,ALAND20,NAME20,UR20,FUNCSTAT20,INTPTLON20,GEOID20,system:index,UATYPE20
0.0,50039,100,13,G5040,55.3926077,1002,,2,5220020,Block 1002,R,S,-162.7549191,20130001001002,001c0000000000002cc1,
0.0,129533,100,13,G5040,55.2866533,1014,,2,3178620,Block 1014,R,S,-162.9440469,20130001001014,001c0000000000003465,
0.0,0,100,13,G5040,55.2918511,1015,,2,66790,Block 1015,R,S,-162.8457633,20130001001015,001c00000000000056ae,
0.0,32054,100,13,G5040,55.2353672,1016,,2,316500,Block 1016,R,S,-162.9184616,20130001001016,001c0000000000003a9f,
0.0,82496671,100,13,G5040,55.4190168,1019,,2,1196015,Block 1019,R,S,-162.6312075,20130001001019,001c0000000000003a13,
0.0,159570,100,13,G5040,55.327603,1022,,2,86726836,Block 1022,R,S,-162.6339519,20130001001022,001c0000000000002e6a,
0.0,417759,100,13,G5040,55.2728753,1029,,2,6271993,Block 1029,R,S,-162.74969,20130001001029,001c0000000000003400,
0.0,1557434,100,13,G5040,55.2603702,1030,,2,12402639,Block 1030,R,S,-162.725485,20130001001030,001c000000000000345c,
0.0,0,100,13,G5040,55.032948,1038,,2,969278735,Block 1038,R,S,-162.955765,20130001001038,001c0000000000004f92,
0.0,0,100,13,G5040,54.925424,1041,,2,4900890,Block 1041,R,S,-163.3233818,20130001001041,001c000000000000450a,
0.0,0,100,13,G5040,55.1558408,1042,,2,34573370,Block 1042,R,S,-162.6520382,20130001001042,001c0000000000004e94,
0.0,0,100,13,G5040,55.1791705,1053,,2,4713805,Block 1053,R,S,-162.7080709,20130001001053,001c0000000000005677,
0.0,0,100,13,G5040,55.2090168,1055,,2,28529125,Block 1055,R,S,-162.7688556,20130001001055,001c00000000000042b5,
0.0,0,100,13,G5040,55.1694048,1064,,2,2322188,Block 1064,R,S,-162.7223386,20130001001064,001c00000000000042ef,
0.0,887402,100,13,G5040,55.2336615,1076,,2,41424904,Block 1076,R,S,-162.8208258,20130001001076,001c0000000000002cf9,
0.0,0,100,13,G5040,55.2355448,1079,,2,28169,Block 1079,R,S,-162.8842405,20130001001079,001c0000000000005538,
0.0,772782,100,13,G5040,55.2371868,1091,,2,60523,Block 1091,R,S,-162.9150714,20130001001091,001c000000000000393c,
0.0,6491006,100,13,G5040,55.0631774,1097,,2,4900565,Block 1097,R,S,-163.4155024,20130001001097,001c00000000000039c1,
0.0,0,100,13,G5040,54.7898654,1106,,2,15345325,Block 1106,R,S,-163.3767692,20130001001106,001c0000000000005822,
0.0,0,100,13,G5040,54.8914762,1108,,2,16120660,Block 1108,R,S,-163.4206203,20130001001108,001c0000000000003c00,
0.0,0,100,13,G5040,54.7525055,1118,,2,11565453,Block 1118,R,S,-163.236742,20130001001118,001c0000000000003df4,
0.0,0,100,13,G5040,54.4198299,1122,,2,3817737,Block 1122,R,S,-164.8227335,20130001001122,001c0000000000004a4f,
