Class_71,Class_82,Class_95,Class_41,Class_31,Class_21,Class_43,Class_11,Class_22,Class_sum,Class_23,Class_24,Class_90,AWATER20,TRACTCE20,COUNTYFP20,MTFCC20,INTPTLAT20,BLOCKCE20,UACE20,STATEFP20,ALAND20,NAME20,UR20,FUNCSTAT20,INTPTLON20,GEOID20,system:index,UATYPE20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0,11100,1,G5040,38.9218231,1024,,11,29444,Block 1024,R,S,-76.965116,110010111001024,00b300000000000089d6,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0,1500,1,G5040,38.9676116,1025,,11,30705,Block 1025,R,S,-77.0589256,110010015001025,00b30000000000007523,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0,980000,1,G5040,38.8928451,1025,,11,29893,Block 1025,R,S,-77.0230111,110019800001025,00b300000000000078bf,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0,11100,1,G5040,38.9228306,1025,,11,12523,Block 1025,R,S,-76.9671769,110010111001025,00b300000000000079fb,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0,10700,1,G5040,38.9007206,1025,,11,12897,Block 1025,R,S,-77.0388474,110010107001025,00b30000000000007b82,
0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.05,0.04,0.0,0.0,0,7401,1,G5040,38.8592348,1025,,11,47813,Block 1025,R,S,-77.0004489,110010074011025,00b30000000000007eb6,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7301,1,G5040,38.8318875,1025,,11,2423,Block 1025,R,S,-77.0179826,110010073011025,00b30000000000008262,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0,1702,1,G5040,38.9705997,1025,,11,24273,Block 1025,R,S,-77.0189621,110010017021025,00b3000000000000890e,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0,9601,1,G5040,38.9090679,1025,,11,18042,Block 1025,R,S,-76.9411464,110010096011025,00b30000000000008a09,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0,10700,1,G5040,38.9008052,1026,,11,18920,Block 1026,R,S,-77.0374216,110010107001026,00b30000000000007839,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0,9601,1,G5040,38.9078497,1026,,11,28946,Block 1026,R,S,-76.9414098,110010096011026,00b30000000000007fa0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0,1702,1,G5040,38.9705995,1026,,11,24418,Block 1026,R,S,-77.0170915,110010017021026,00b3000000000000802f,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0,7401,1,G5040,38.8596377,1026,,11,38444,Block 1026,R,S,-76.9994143,110010074011026,00b30000000000008269,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0,1500,1,G5040,38.9683773,1026,,11,20913,Block 1026,R,S,-77.0566665,110010015001026,00b30000000000008352,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.01,0.0,0,980000,1,G5040,38.893124,1026,,11,40305,Block 1026,R,S,-77.0250234,110019800001026,00b300000000000085bb,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.01,0.0,0.0,0,7301,1,G5040,38.8343366,1026,,11,35457,Block 1026,R,S,-77.0192949,110010073011026,00b30000000000008766,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11100,1,G5040,38.9231045,1026,,11,1061,Block 1026,R,S,-76.9676481,110010111001026,00b3000000000000877c,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0,9601,1,G5040,38.9078741,1027,,11,15052,Block 1027,R,S,-76.9396869,110010096011027,00b30000000000007481,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.03,0.0,0,980000,1,G5040,38.89341,1027,,11,54601,Block 1027,R,S,-77.0270937,110019800001027,00b30000000000007780,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0,7301,1,G5040,38.8333826,1027,,11,14329,Block 1027,R,S,-77.018523,110010073011027,00b300000000000077da,
