Class_81,Class_71,Class_82,Class_95,Class_41,Class_52,Class_31,Class_42,Class_21,Class_43,Class_11,Class_22,Class_sum,Class_23,Class_24,Class_90,AWATER20,TRACTCE20,COUNTYFP20,MTFCC20,INTPTLAT20,BLOCKCE20,UACE20,STATEFP20,ALAND20,NAME20,UR20,FUNCSTAT20,INTPTLON20,GEOID20,system:index,UATYPE20
0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.75,0.0,0.0,0.2,0,43100,1,G5040,38.9192287,1033,,10,750194,Block 1033,R,S,-75.6485162,100010431001033,00b40000000000002bf8,
0.0,0.0,0.61,0.0,0.11,0.0,0.0,0.0,0.06,0.18,0.0,0.0,2.38,0.0,0.0,1.42,0,42900,1,G5040,38.8597297,1034,,10,2392664,Block 1034,R,S,-75.5407714,100010429001034,00b4000000000000160b,
0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0,42802,1,G5040,39.010604,1034,,10,11671,Block 1034,R,S,-75.5715253,100010428021034,00b400000000000016ce,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.02,0.0,0,43000,1,G5040,38.9253809,1034,,10,24920,Block 1034,R,S,-75.5790636,100010430001034,00b4000000000000176a,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0,42500,1,G5040,38.9252407,1034,,10,5728,Block 1034,R,S,-75.427187,100010425001034,00b40000000000001dcd,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.01,0.06,0.0,0.0,0.0,0,42207,1,G5040,39.0556968,1034,,10,60908,Block 1034,R,S,-75.4996567,100010422071034,00b40000000000001e69,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,42205,1,G5040,39.0544816,1034,,10,2977,Block 1034,R,S,-75.5560653,100010422051034,00b40000000000001efb,
0.0,0.0,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.06,0.0,2.55,0.0,0.0,0.84,0,43400,1,G5040,38.9913022,1034,,10,2557579,Block 1034,R,S,-75.4825562,100010434001034,00b40000000000001f91,
0.0,0.0,0.24,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.12,0,42801,1,G5040,38.9739125,1034,,10,447712,Block 1034,R,S,-75.7023955,100010428011034,00b40000000000002758,
0.06,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,1.42,0.0,0.0,0.67,0,43100,1,G5040,38.9260368,1034,,10,1422828,Block 1034,R,S,-75.6492736,100010431001034,00b40000000000002d0c,
