,GEOID,grassland,cultivated_crops,emergent_herbaceous,decidous _forest,shrub,barren_land,evergreen_forest,developed_openspace,mixed_forest,open-water,developed_lowintensity,developed_mediumintensity,developed_highintensity,woodywetlands
49,010030106003,0.51,0.84,0.0,0.0,0.28,0.0,5.57,1.22,0.46,0.0,0.43,0.45,0.15,2.41
50,010030107011,0.08,0.0,22.88,0.0,0.0,0.39,1.77,2.22,0.0,44.05,1.14,0.05,0.0,60.08
51,010030107012,0.09,0.0,0.0,0.0,0.0,0.0,1.25,3.0,0.0,0.0,0.99,0.19,0.0,0.31
52,010030107013,0.08,0.0,0.0,0.0,0.15,0.0,4.31,1.3,0.0,0.03,0.35,0.0,0.0,1.39
53,010030107014,0.29,0.0,2.03,0.0,0.0,0.23,1.03,1.17,0.0,9.44,0.85,0.45,0.17,0.91
54,010030107031,0.82,26.02,0.08,0.0,0.77,0.08,10.52,6.53,0.46,0.31,3.0,0.32,0.24,3.74
55,010030107032,1.52,2.08,0.0,0.0,5.1,0.0,47.78,3.3,0.08,0.15,4.08,1.51,0.31,12.71
56,010030107041,0.0,0.0,0.07,0.0,0.0,0.0,2.54,1.61,0.0,0.15,0.59,0.27,0.21,0.45
57,010030107042,0.0,0.0,0.0,0.0,0.0,0.0,0.89,1.35,0.0,0.0,0.4,0.0,0.0,0.08
58,010030107051,0.23,1.65,1.1,0.0,0.1,0.0,3.5,2.0,0.0,26.44,2.03,1.13,0.15,0.88
59,010030107052,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.15,0.0,0.07,0.37,0.05,0.0,0.05
60,010030107053,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.9,0.0,0.0,0.48,0.06,0.0,0.02
61,010030108001,0.0,0.04,0.0,0.0,0.05,0.0,1.83,1.23,0.0,0.0,0.56,0.56,0.15,0.37
62,010030108002,0.0,0.0,0.0,0.0,0.0,0.08,2.53,1.76,0.0,4.49,0.45,0.24,0.08,0.84
63,010030108003,0.0,0.0,0.0,0.0,0.08,0.0,2.84,1.65,0.0,0.0,0.64,0.28,0.07,0.47
64,010030109031,0.94,5.8,0.0,0.0,0.48,0.0,4.33,1.44,0.08,0.0,0.61,0.08,0.01,1.6
65,010030109032,0.0,1.1,0.0,0.0,0.02,0.0,0.39,1.35,0.0,0.15,0.52,0.1,0.0,0.42
66,010030109033,0.55,7.17,0.08,0.0,0.45,0.23,13.21,0.62,0.23,0.0,0.28,0.0,0.0,4.23
67,010030109041,2.15,17.33,0.08,0.0,5.83,0.08,28.25,2.57,0.23,0.39,0.38,0.0,0.0,15.85
68,010030109042,5.24,8.45,1.93,0.0,11.82,0.0,50.56,2.73,0.08,1.5,0.6,0.0,0.0,38.98
69,010030109043,0.66,15.37,0.0,0.0,0.26,0.18,10.98,2.04,0.16,0.31,0.94,0.2,0.07,7.13
70,010030109051,0.08,9.99,0.0,0.0,0.0,0.0,12.09,2.74,0.37,0.08,0.08,0.0,0.0,4.16
71,010030109052,0.0,4.28,0.0,0.0,0.0,0.08,3.5,2.53,0.41,0.02,0.8,0.45,0.23,2.85
72,010030109053,0.0,4.93,0.0,0.0,0.0,0.0,1.09,0.68,0.08,0.0,0.67,0.15,0.0,0.78
73,010030109061,0.29,7.07,0.0,0.0,0.05,0.0,4.04,1.09,0.08,0.0,0.47,0.0,0.0,2.99
74,010030109062,0.02,0.85,0.0,0.0,0.0,0.0,0.33,0.48,0.0,0.08,0.56,0.08,0.0,2.64
75,010030109063,0.31,5.35,0.0,0.0,0.0,0.0,2.77,1.05,0.08,0.0,0.08,0.17,0.0,2.23
76,010030110001,0.31,26.43,0.04,0.0,0.46,0.0,10.77,2.21,0.15,0.31,0.61,0.11,0.0,4.82
77,010030110002,1.59,29.92,0.0,0.0,0.54,0.08,13.48,3.19,0.15,0.08,0.33,0.21,0.0,12.55
78,010030111011,0.08,2.12,0.08,0.0,0.0,0.0,3.42,1.86,0.15,0.0,0.7,0.0,0.0,1.91
79,010030111012,0.23,0.83,0.0,0.0,0.08,0.0,2.12,1.92,0.08,0.0,0.23,0.08,0.08,1.4
80,010030111013,0.45,0.71,0.0,0.0,0.08,0.0,0.77,2.12,0.0,0.0,1.47,0.43,0.17,0.33
81,010030111021,0.75,8.01,0.05,0.0,0.0,0.31,4.66,1.03,0.14,0.32,0.37,0.0,0.0,4.77
82,010030111022,0.63,5.05,0.0,0.0,0.23,0.0,4.75,1.41,0.02,0.01,0.86,0.19,0.0,3.05
83,010030112011,0.23,1.0,0.0,0.0,0.0,0.0,3.1,1.54,0.0,1.37,0.28,0.15,0.0,0.71
84,010030112012,0.0,0.34,0.0,0.0,0.0,0.0,0.93,1.23,0.0,0.3,0.39,0.41,0.06,0.0
85,010030112021,0.0,0.81,0.0,0.0,0.0,0.08,2.13,1.5,0.0,0.08,0.24,0.19,0.0,1.94
86,010030112022,0.0,0.0,0.0,0.0,0.0,0.0,1.24,0.75,0.0,2.76,0.13,0.02,0.0,0.41
87,010030112023,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.62,0.0,0.03,0.2,0.23,0.06,0.13
88,010030112024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.05,0.09,0.08,0.02,0.0
89,010030113001,0.08,0.05,0.0,0.0,0.0,0.39,1.15,2.4,0.0,1.7,0.12,0.0,0.0,1.64
90,010030113002,0.54,1.38,0.91,0.0,0.08,0.28,1.33,0.81,0.0,8.61,0.0,0.02,0.0,13.29
91,010030113003,0.39,3.13,0.15,0.0,0.0,0.03,1.98,0.74,0.0,0.2,0.0,0.0,0.0,3.07
92,010030113004,0.31,10.21,0.0,0.0,0.0,0.08,2.22,0.7,0.0,2.51,0.42,0.14,0.0,4.59
93,010030114011,0.08,14.8,0.0,0.0,0.08,0.68,3.31,1.57,0.0,0.0,0.4,0.02,0.0,2.12
94,010030114012,0.0,2.11,0.07,0.0,0.0,0.0,1.4,1.05,0.0,2.13,0.2,0.14,0.0,3.57
95,010030114013,0.46,23.85,0.17,0.0,0.0,0.07,3.15,1.71,0.0,0.58,0.04,0.07,0.0,7.2
96,010030114014,1.23,21.03,2.2,0.0,0.08,0.77,7.72,1.83,0.08,9.07,0.45,0.08,0.0,23.49
97,010030114015,0.03,12.01,0.06,0.0,0.0,0.12,5.38,0.89,0.0,0.69,0.25,0.01,0.0,3.79
98,010030114031,0.61,0.0,1.89,0.0,0.0,0.62,3.86,3.72,0.0,2.65,1.35,0.38,0.0,10.0
99,010030114032,0.83,1.01,0.62,0.0,0.08,1.19,3.07,6.39,0.0,0.28,1.98,1.83,0.08,3.22
100,010030114033,1.12,5.69,2.52,0.0,0.0,0.09,8.43,3.71,0.0,6.29,1.41,0.46,0.15,12.82
101,010030114051,0.15,0.0,0.23,0.0,0.0,0.15,0.7,1.78,0.0,8.45,2.08,0.57,0.15,1.25
102,010030114052,0.0,0.0,0.25,0.0,0.0,2.0,0.0,0.08,0.0,12.42,4.62,0.92,0.08,0.02
103,010030114061,0.0,0.0,0.08,0.0,0.08,0.43,0.43,0.95,0.0,0.23,0.83,0.33,0.07,1.42
104,010030114062,0.0,0.0,3.37,0.0,0.54,2.56,0.01,0.22,0.0,5.96,0.96,1.76,0.43,5.3
105,010030114063,0.0,0.0,1.05,0.0,0.0,0.45,1.6,1.12,0.0,1.61,2.28,0.89,0.31,7.79
106,010030114071,0.0,0.0,2.98,0.0,0.09,0.08,2.1,1.77,0.0,7.69,1.1,0.31,0.0,6.64
107,010030114072,0.31,0.0,1.42,0.0,0.31,3.91,1.84,0.61,0.0,14.6,2.03,1.0,0.11,3.36
108,010030114073,0.0,0.0,0.22,0.0,0.0,0.0,0.26,1.76,0.0,0.56,1.05,0.69,0.01,0.48
109,010030114081,0.15,0.0,7.39,0.0,1.77,5.88,0.94,1.16,0.0,22.2,3.02,1.47,0.16,6.42
110,010030115011,0.16,13.22,0.0,0.0,0.0,0.0,5.81,2.23,0.08,0.07,2.11,0.78,0.0,3.5
111,010030115012,0.25,0.59,0.0,0.0,0.0,0.37,0.5,1.02,0.0,0.08,0.47,0.06,0.0,0.15
112,010030115013,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.94,0.0,0.0,0.92,0.22,0.0,0.0
113,010030115021,0.33,8.17,0.0,0.0,0.08,0.01,1.03,3.81,0.0,0.0,2.37,1.72,0.54,1.29
114,010030115022,0.14,0.27,0.0,0.0,0.0,0.0,0.37,1.11,0.0,0.0,0.65,0.31,0.08,0.0
115,010030115023,0.29,0.12,0.0,0.0,0.0,0.15,2.28,2.86,0.0,0.02,1.62,0.76,0.08,0.97
116,010030115024,0.47,3.87,0.07,0.0,0.08,0.23,2.5,3.78,0.0,0.41,1.25,0.02,0.0,1.41
117,010030116011,4.72,54.88,0.32,0.0,6.11,0.0,26.75,1.96,0.0,0.22,0.22,0.03,0.0,22.88
118,010030116012,0.64,9.43,0.0,0.0,0.46,0.0,6.67,2.21,0.0,0.0,0.34,0.13,0.0,5.36
119,010030116013,0.96,8.67,0.0,0.0,0.17,0.18,18.67,2.69,0.0,2.91,0.28,0.08,0.0,1.92
120,010030116014,0.77,3.31,2.45,0.0,0.16,0.47,14.66,1.0,0.0,8.99,0.4,0.0,0.0,5.04
121,010030116021,0.0,2.31,0.07,0.0,0.0,0.17,1.78,1.4,0.0,14.45,0.47,0.08,0.0,0.07
122,010030116022,0.77,4.34,4.0,0.0,1.54,0.46,5.81,0.94,0.0,14.13,0.0,0.0,0.0,26.07
123,010030116023,0.38,2.36,0.15,0.0,0.29,0.28,6.97,1.23,0.0,6.09,0.0,0.0,0.0,1.23
124,010030116024,0.15,0.77,0.09,0.0,0.0,0.22,3.91,1.29,0.0,0.23,1.16,0.0,0.0,0.47
125,010039900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,814.83,0.0,0.0,0.0,0.0
126,010059501001,7.94,12.66,0.0,28.29,18.05,0.0,126.14,2.44,37.38,1.3,0.08,0.0,0.0,32.3
127,010059501002,4.68,25.89,0.38,20.42,16.45,0.0,53.81,2.62,32.8,11.05,0.39,0.41,0.08,18.23
128,010059501003,0.23,6.17,0.3,0.3,0.83,0.0,7.6,1.29,5.7,15.44,1.29,0.42,0.03,6.48
129,010059502001,7.44,3.0,0.08,24.1,15.0,0.0,80.88,2.89,39.85,0.97,0.64,0.13,0.03,14.13
130,010059502002,10.92,3.98,0.0,20.81,28.61,0.08,71.11,3.92,44.9,0.15,0.15,0.19,0.0,15.25
131,010059502003,7.01,4.6,0.0,4.71,9.05,0.0,40.71,1.9,19.24,0.77,0.36,0.06,0.05,3.65
132,010059503001,4.13,12.66,0.0,7.23,12.44,0.0,55.59,3.38,28.23,0.84,0.42,0.09,0.08,12.94
133,010059503002,5.12,9.25,0.23,4.11,9.06,0.0,62.64,2.1,34.98,0.99,0.19,0.29,0.0,35.78
134,010059504001,6.76,14.51,0.0,2.92,13.17,0.0,39.67,3.64,33.77,0.39,0.16,0.08,0.0,16.0
135,010059504002,4.88,5.11,0.08,1.64,7.61,0.0,27.5,1.71,21.01,0.83,0.0,0.06,0.0,3.47
136,010059504003,3.21,3.94,0.0,2.24,9.13,0.0,26.12,1.42,16.57,0.84,0.08,0.01,0.0,9.03
137,010059505001,2.01,4.28,0.0,3.9,4.21,0.0,16.54,2.79,6.83,9.06,0.46,0.22,0.0,0.53
138,010059505002,13.85,7.52,0.08,10.05,19.22,1.83,65.95,2.22,27.71,1.52,0.16,0.08,0.0,14.49
139,010059505003,8.67,4.55,0.0,3.4,13.62,1.76,30.81,1.76,18.05,0.95,0.3,0.08,0.0,5.95
140,010059506001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.12,0.0,0.42,0.42,0.19,0.0
141,010059506002,12.87,0.51,0.0,6.57,14.37,0.0,38.57,1.74,18.38,0.86,0.71,0.0,0.0,3.89
142,010059507001,11.2,0.47,0.0,11.59,13.88,0.0,57.45,2.45,24.19,0.1,0.14,0.0,0.0,2.11
143,010059507002,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.39,0.11,0.0,0.84,0.17,0.01,0.05
144,010059508001,0.0,0.05,0.0,1.38,0.37,0.0,1.94,0.89,3.85,0.45,0.23,0.14,0.14,0.0
145,010059508002,0.0,0.08,0.0,0.75,0.19,0.0,2.18,0.75,1.09,0.08,0.36,0.0,0.02,0.0
146,010059509001,0.15,1.38,0.0,0.0,0.47,0.0,3.32,1.25,1.28,0.75,0.75,0.15,0.08,0.0
147,010059509002,0.0,0.38,0.0,0.0,0.16,0.0,0.46,0.9,1.1,7.5,1.1,0.89,0.27,0.09
148,010059509003,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.21,0.14,0.13,0.51,0.3,0.03,0.0
